 2017-09-19 13:15:58 INFO  IOManager:17 - Displaying Menu
 2017-09-19 13:30:58 INFO  IOManager:17 - Displaying Menu
 2017-09-19 13:31:12 INFO  IOManager:224 - Display Menu to Manager User
 2017-09-19 13:31:18 INFO  IOManager:230 - Getting user Data to Update
 2017-09-19 13:31:30 INFO  UserManager:63 - Verifying user by CNIC
 2017-09-19 13:31:30 INFO  ConnectionManager:14 - Creating Database connection
 2017-09-19 13:31:31 INFO  IOManager:260 - Displaying user Personal Detail:
 2017-09-19 13:31:31 INFO  IOManager:277 - Displaying Menu message to Updata User
 2017-09-19 13:33:08 INFO  IOManager:120 - Getting CNIC from the user
 2017-09-19 13:54:46 INFO  IOManager:17 - Displaying Menu
 2017-09-19 13:54:53 INFO  IOManager:224 - Display Menu to Manager User
 2017-09-19 13:54:58 INFO  IOManager:230 - Getting user Data to Update
 2017-09-19 13:55:11 INFO  UserManager:63 - Verifying user by CNIC
 2017-09-19 13:55:11 INFO  ConnectionManager:14 - Creating Database connection
 2017-09-19 13:55:12 INFO  IOManager:260 - Displaying user Personal Detail:
 2017-09-19 13:55:12 INFO  IOManager:286 - Displaying Menu message to Updata User
 2017-09-19 13:55:24 INFO  IOManager:120 - Getting CNIC from the user
 2017-09-19 13:55:32 INFO  IOManager:268 - Display Updation Message
 2017-09-20 12:16:47 INFO  IOManager:24 - Displaying Menu
2017-09-20 12:17:04 INFO  IOManager:93 - Getting email from the user
2017-09-20 12:17:37 INFO  UserManager:44 - Verifying user by email
2017-09-20 12:17:37 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 12:17:39 INFO  IOManager:147 - Showing WelCome message 
2017-09-20 12:17:39 INFO  ItemManager:52 - Getting all items / product from Database
2017-09-20 12:17:39 INFO  IOManager:157 - Printing list of all items/product
2017-09-20 12:17:39 INFO  ApplicationManager:32 - Placing order
2017-09-20 12:17:39 INFO  IOManager:167 - Getting order from the user
2017-09-20 12:18:17 INFO  ApplicationManager:54 - Inserting order detail in Database
2017-09-20 12:18:17 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 12:18:17 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 12:19:02 INFO  IOManager:24 - Displaying Menu
2017-09-20 12:19:12 INFO  IOManager:93 - Getting email from the user
2017-09-20 12:19:15 INFO  UserManager:44 - Verifying user by email
2017-09-20 12:19:15 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 12:19:16 INFO  IOManager:147 - Showing WelCome message 
2017-09-20 12:19:16 INFO  ItemManager:52 - Getting all items / product from Database
2017-09-20 12:19:16 INFO  IOManager:157 - Printing list of all items/product
2017-09-20 12:19:16 INFO  ApplicationManager:32 - Placing order
2017-09-20 12:19:16 INFO  IOManager:167 - Getting order from the user
2017-09-20 12:19:55 INFO  ApplicationManager:54 - Inserting order detail in Database
2017-09-20 12:19:55 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 12:19:55 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 12:21:33 INFO  IOManager:24 - Displaying Menu
2017-09-20 12:21:41 INFO  IOManager:93 - Getting email from the user
2017-09-20 12:21:46 INFO  UserManager:44 - Verifying user by email
2017-09-20 12:21:46 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 12:21:47 INFO  IOManager:147 - Showing WelCome message 
2017-09-20 12:21:47 INFO  ItemManager:52 - Getting all items / product from Database
2017-09-20 12:21:47 INFO  IOManager:157 - Printing list of all items/product
2017-09-20 12:22:16 INFO  ApplicationManager:32 - Placing order
2017-09-20 12:23:43 INFO  IOManager:167 - Getting order from the user
2017-09-20 12:24:34 INFO  ApplicationManager:54 - Inserting order detail in Database
2017-09-20 12:24:41 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 12:25:08 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 12:28:40 INFO  IOManager:24 - Displaying Menu
2017-09-20 12:28:46 INFO  IOManager:24 - Displaying Menu
2017-09-20 12:28:51 INFO  IOManager:24 - Displaying Menu
2017-09-20 12:29:01 INFO  IOManager:93 - Getting email from the user
